Timing,Xms,Xmx,GCollector
0.115625,512,1152,UseConcMarkSweepGC
0.115625,512,1280,UseConcMarkSweepGC
0.109375,512,1408,UseConcMarkSweepGC
0.109375,512,1536,UseConcMarkSweepGC
0.09375,512,1664,UseConcMarkSweepGC
0.103125,512,1792,UseConcMarkSweepGC
0.103125,512,1920,UseConcMarkSweepGC
0.0953125,640,256,UseConcMarkSweepGC
0.1,640,384,UseConcMarkSweepGC
0.1,640,512,UseConcMarkSweepGC
0.096875,640,640,UseConcMarkSweepGC
0.1375,640,768,UseConcMarkSweepGC
0.125,640,896,UseConcMarkSweepGC
0.109375,640,1024,UseConcMarkSweepGC
0.103125,640,1152,UseConcMarkSweepGC
0.1125,640,1280,UseConcMarkSweepGC
0.109375,640,1408,UseConcMarkSweepGC
0.1125,640,1536,UseConcMarkSweepGC
0.1125,640,1664,UseConcMarkSweepGC
0.146875,640,1792,UseConcMarkSweepGC
0.1125,640,1920,UseConcMarkSweepGC
0.109375,768,256,UseConcMarkSweepGC
0.115625,768,384,UseConcMarkSweepGC
0.109375,768,512,UseConcMarkSweepGC
0.109375,768,640,UseConcMarkSweepGC
0.10625,768,768,UseConcMarkSweepGC
0.11875,768,896,UseConcMarkSweepGC
0.14375,768,1024,UseConcMarkSweepGC
0.121875,768,1152,UseConcMarkSweepGC
0.115625,768,1280,UseConcMarkSweepGC
0.109375,768,1408,UseConcMarkSweepGC
0.1078125,768,1536,UseConcMarkSweepGC
0.10625,768,1664,UseConcMarkSweepGC
0.109375,768,1792,UseConcMarkSweepGC
0.109375,768,1920,UseConcMarkSweepGC
0.14375,896,256,UseConcMarkSweepGC
0.125,896,384,UseConcMarkSweepGC
0.11875,896,512,UseConcMarkSweepGC
0.115625,896,640,UseConcMarkSweepGC
0.125,896,768,UseConcMarkSweepGC
0.1125,896,896,UseConcMarkSweepGC
0.1125,896,1024,UseConcMarkSweepGC
0.115625,896,1152,UseConcMarkSweepGC
0.15,896,1280,UseConcMarkSweepGC
0.128125,896,1408,UseConcMarkSweepGC
0.10625,896,1536,UseConcMarkSweepGC
0.11875,896,1664,UseConcMarkSweepGC
0.11875,896,1792,UseConcMarkSweepGC
0.115625,896,1920,UseConcMarkSweepGC
0.1203125,1024,256,UseConcMarkSweepGC
0.109375,1024,384,UseConcMarkSweepGC
0.1375,1024,512,UseConcMarkSweepGC
0.11875,1024,640,UseConcMarkSweepGC
0.109375,1024,768,UseConcMarkSweepGC
0.109375,1024,896,UseConcMarkSweepGC
0.1125,1024,1024,UseConcMarkSweepGC
0.128125,1024,1152,UseConcMarkSweepGC
0.11875,1024,1280,UseConcMarkSweepGC
0.1125,1024,1408,UseConcMarkSweepGC
0.10625,1024,1536,UseConcMarkSweepGC
0.096875,1024,1664,UseConcMarkSweepGC
0.103125,1024,1792,UseConcMarkSweepGC
0.10625,1024,1920,UseConcMarkSweepGC
0.1,1152,256,UseConcMarkSweepGC
0.1,1152,384,UseConcMarkSweepGC
0.103125,1152,512,UseConcMarkSweepGC
0.115625,1152,640,UseConcMarkSweepGC
0.1375,1152,768,UseConcMarkSweepGC
0.1125,1152,896,UseConcMarkSweepGC
0.1125,1152,1024,UseConcMarkSweepGC
0.128125,1152,1152,UseConcMarkSweepGC
0.125,1152,1280,UseConcMarkSweepGC
0.134375,1152,1408,UseConcMarkSweepGC
0.128125,1152,1536,UseConcMarkSweepGC
0.121875,1152,1664,UseConcMarkSweepGC
0.146875,1152,1792,UseConcMarkSweepGC
0.115625,1152,1920,UseConcMarkSweepGC
0.1125,1280,256,UseConcMarkSweepGC
0.125,1280,384,UseConcMarkSweepGC
0.11875,1280,512,UseConcMarkSweepGC
0.134375,1280,640,UseConcMarkSweepGC
0.1296875,1280,768,UseConcMarkSweepGC
0.115625,1280,896,UseConcMarkSweepGC
0.134375,1280,1024,UseConcMarkSweepGC
0.109375,1280,1152,UseConcMarkSweepGC
0.1125,1280,1280,UseConcMarkSweepGC
0.121875,1280,1408,UseConcMarkSweepGC
0.11875,1280,1536,UseConcMarkSweepGC
0.11875,1280,1664,UseConcMarkSweepGC
0.14375,1280,1792,UseConcMarkSweepGC
0.128125,1280,1920,UseConcMarkSweepGC
0.103125,1408,256,UseConcMarkSweepGC
0.096875,1408,384,UseConcMarkSweepGC
0.1,1408,512,UseConcMarkSweepGC
0.1,1408,640,UseConcMarkSweepGC
0.1,1408,768,UseConcMarkSweepGC
0.103125,1408,896,UseConcMarkSweepGC
0.1,1408,1024,UseConcMarkSweepGC
0.1,1408,1152,UseConcMarkSweepGC
0.1015625,1408,1280,UseConcMarkSweepGC
0.1,1408,1408,UseConcMarkSweepGC
0.1015625,1408,1536,UseConcMarkSweepGC
0.103125,1408,1664,UseConcMarkSweepGC
0.096875,1408,1792,UseConcMarkSweepGC
0.1,1408,1920,UseConcMarkSweepGC
0.1,1536,256,UseConcMarkSweepGC
0.115625,1536,384,UseConcMarkSweepGC
0.10625,1536,512,UseConcMarkSweepGC
0.103125,1536,640,UseConcMarkSweepGC
0.1,1536,768,UseConcMarkSweepGC
0.10625,1536,896,UseConcMarkSweepGC
