Timing,Xms,Xmx,GCollector
1.497396,1024,1792,UseParallelGC
1.533854,1024,1920,UseParallelGC
0.1041667,1152,256,UseParallelGC
9.895834E-02,1152,384,UseParallelGC
0.09375,1152,512,UseParallelGC
0.09375,1152,640,UseParallelGC
0.09375,1152,768,UseParallelGC
0.09375,1152,896,UseParallelGC
0.09375,1152,1024,UseParallelGC
1.369792,1152,1152,UseParallelGC
1.447917,1152,1280,UseParallelGC
1.34375,1152,1408,UseParallelGC
1.393229,1152,1536,UseParallelGC
1.419271,1152,1664,UseParallelGC
1.377604,1152,1792,UseParallelGC
1.361979,1152,1920,UseParallelGC
0.1041667,1280,256,UseParallelGC
9.895834E-02,1280,384,UseParallelGC
0.09375,1280,512,UseParallelGC
0.09375,1280,640,UseParallelGC
8.854166E-02,1280,768,UseParallelGC
0.1041667,1280,896,UseParallelGC
0.1145833,1280,1024,UseParallelGC
0.109375,1280,1152,UseParallelGC
1.486979,1280,1280,UseParallelGC
1.419271,1280,1408,UseParallelGC
1.359375,1280,1536,UseParallelGC
1.450521,1280,1664,UseParallelGC
1.598958,1280,1792,UseParallelGC
1.429688,1280,1920,UseParallelGC
9.895834E-02,1408,256,UseParallelGC
9.895834E-02,1408,384,UseParallelGC
9.895834E-02,1408,512,UseParallelGC
0.09375,1408,640,UseParallelGC
0.1041667,1408,768,UseParallelGC
9.635416E-02,1408,896,UseParallelGC
0.09375,1408,1024,UseParallelGC
0.09375,1408,1152,UseParallelGC
0.09375,1408,1280,UseParallelGC
1.247396,1408,1408,UseParallelGC
1.296875,1408,1536,UseParallelGC
1.346354,1408,1664,UseParallelGC
1.309896,1408,1792,UseParallelGC
1.328125,1408,1920,UseParallelGC
0.1041667,1536,256,UseParallelGC
0.09375,1536,384,UseParallelGC
9.895834E-02,1536,512,UseParallelGC
0.1041667,1536,640,UseParallelGC
0.09375,1536,768,UseParallelGC
0.09375,1536,896,UseParallelGC
9.895834E-02,1536,1024,UseParallelGC
9.895834E-02,1536,1152,UseParallelGC
0.09375,1536,1280,UseParallelGC
9.114584E-02,1536,1408,UseParallelGC
1.403646,1536,1536,UseParallelGC
1.309896,1536,1664,UseParallelGC
1.291667,1536,1792,UseParallelGC
1.236979,1536,1920,UseParallelGC
0.09375,1664,256,UseParallelGC
0.09375,1664,384,UseParallelGC
0.09375,1664,512,UseParallelGC
8.854166E-02,1664,640,UseParallelGC
9.895834E-02,1664,768,UseParallelGC
0.09375,1664,896,UseParallelGC
0.09375,1664,1024,UseParallelGC
0.09375,1664,1152,UseParallelGC
0.09375,1664,1280,UseParallelGC
0.09375,1664,1408,UseParallelGC
0.09375,1664,1536,UseParallelGC
1.419271,1664,1664,UseParallelGC
1.364583,1664,1792,UseParallelGC
1.403646,1664,1920,UseParallelGC
0.09375,1792,256,UseParallelGC
0.09375,1792,384,UseParallelGC
0.09375,1792,512,UseParallelGC
0.09375,1792,640,UseParallelGC
0.09375,1792,768,UseParallelGC
9.895834E-02,1792,896,UseParallelGC
9.895834E-02,1792,1024,UseParallelGC
0.09375,1792,1152,UseParallelGC
9.895834E-02,1792,1280,UseParallelGC
9.895834E-02,1792,1408,UseParallelGC
