Timing,Xms,Xmx,GCollector
9.895834E-02,1536,256,UseSerialGC
8.854166E-02,1536,384,UseSerialGC
8.854166E-02,1536,512,UseSerialGC
8.854166E-02,1536,640,UseSerialGC
8.854166E-02,1536,768,UseSerialGC
8.854166E-02,1536,896,UseSerialGC
8.854166E-02,1536,1024,UseSerialGC
8.854166E-02,1536,1152,UseSerialGC
8.854166E-02,1536,1280,UseSerialGC
8.854166E-02,1536,1408,UseSerialGC
7.591146,1536,1536,UseSerialGC
7.455729,1536,1664,UseSerialGC
7.606771,1536,1792,UseSerialGC
7.643229,1536,1920,UseSerialGC
0.09375,1664,256,UseSerialGC
8.854166E-02,1664,384,UseSerialGC
8.854166E-02,1664,512,UseSerialGC
0.09375,1664,640,UseSerialGC
8.854166E-02,1664,768,UseSerialGC
8.333334E-02,1664,896,UseSerialGC
8.854166E-02,1664,1024,UseSerialGC
8.854166E-02,1664,1152,UseSerialGC
8.854166E-02,1664,1280,UseSerialGC
8.854166E-02,1664,1408,UseSerialGC
8.854166E-02,1664,1536,UseSerialGC
7.278646,1664,1664,UseSerialGC
7.460938,1664,1792,UseSerialGC
7.471354,1664,1920,UseSerialGC
0.09375,1792,256,UseSerialGC
8.854166E-02,1792,384,UseSerialGC
8.854166E-02,1792,512,UseSerialGC
8.854166E-02,1792,640,UseSerialGC
8.854166E-02,1792,768,UseSerialGC
8.854166E-02,1792,896,UseSerialGC
0.0859375,1792,1024,UseSerialGC
8.854166E-02,1792,1152,UseSerialGC
0.0859375,1792,1280,UseSerialGC
9.114584E-02,1792,1408,UseSerialGC
0.0859375,1792,1536,UseSerialGC
9.114584E-02,1792,1664,UseSerialGC
6.898438,1792,1792,UseSerialGC
6.971354,1792,1920,UseSerialGC
9.895834E-02,1920,256,UseSerialGC
8.854166E-02,1920,384,UseSerialGC
8.333334E-02,1920,512,UseSerialGC
8.854166E-02,1920,640,UseSerialGC
8.854166E-02,1920,768,UseSerialGC
8.854166E-02,1920,896,UseSerialGC
8.854166E-02,1920,1024,UseSerialGC
8.854166E-02,1920,1152,UseSerialGC
8.854166E-02,1920,1280,UseSerialGC
0.09375,1920,1408,UseSerialGC
8.854166E-02,1920,1536,UseSerialGC
8.333334E-02,1920,1664,UseSerialGC
8.854166E-02,1920,1792,UseSerialGC
7.356771,1920,1920,UseSerialGC
11.22917,256,256,UseParallelGC
44.87761,256,384,UseParallelGC
43.79688,256,512,UseParallelGC
42.11458,256,640,UseParallelGC
38.25,256,768,UseParallelGC
35.27864,256,896,UseParallelGC
33.49739,256,1024,UseParallelGC
33.42969,256,1152,UseParallelGC
32.41667,256,1280,UseParallelGC
34.3125,256,1408,UseParallelGC
30.35156,256,1536,UseParallelGC
29.3724,256,1664,UseParallelGC
28.64583,256,1792,UseParallelGC
27.88281,256,1920,UseParallelGC
9.114584E-02,384,256,UseParallelGC
45.44531,384,384,UseParallelGC
43.29688,384,512,UseParallelGC
41.90104,384,640,UseParallelGC
38.83333,384,768,UseParallelGC
37.57031,384,896,UseParallelGC
38.16927,384,1024,UseParallelGC
34.14844,384,1152,UseParallelGC
29.49219,384,1280,UseParallelGC
32.08333,384,1408,UseParallelGC
30.02083,384,1536,UseParallelGC
28.4401,384,1664,UseParallelGC
29.3099,384,1792,UseParallelGC
27.78385,384,1920,UseParallelGC
0.09375,512,256,UseParallelGC
8.854166E-02,512,384,UseParallelGC
43.19792,512,512,UseParallelGC
40.27083,512,640,UseParallelGC
38.24739,512,768,UseParallelGC
